# TESS Program G011060

Title: Rotationally-Induced Variability Of Chemically Peculiar (Cp) Stars

PI: Paunzen, Ernst - Masarykova Univerzita

Type: N/A

Summary: The chemically peculiar (CP) stars of the upper main sequence (B0 to F4) allow the testing of current theories on stellar formation and evolution in the presence of a magnetic field, elemental diffusion and meridional circulation. Several subgroups exhibit an inhomogene-ous surface distribution of elements, which leads to spectroscopic and photometric varia-tions with the rotation period. Therefore, the rotation period can be directly measured which is unique among stars of these spectral types. The resulting sample of rotational periods will allow for an analysis of its behaviour among upper-MS stars, which we will correlate with stellar parameters derived from GAIA data. TESS data will also enable us to search for the effects of binarity in the light curves.                              


# Sector 001 targets observed (197)
115150623,317.0318,-37.0454,8.62,G011127;G011060
126821282,317.2814,-43.2755,8.57,G011060
126944775,318.5806,-42.7989,8.21,G011154;G011060
129636548,321.1036,-41.0067,5.84,G011155;G011127;G011241;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
147113185,321.7565,-42.5479,5.3,G011155;G011060;G011048;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
159834975,320.1907,-40.8094,4.9,G011155;G011127;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
165110772,323.0115,-37.7699,8.73,G011060
389531041,325.3892,-41.6329,9.5,G011127;G011060
389658670,321.0872,-46.6148,6.14,G011060
92705248,316.3955,-35.7022,9.02,G011127;G011060
197647472,328.8137,-38.9953,7.31,G011060
197733707,330.4885,-37.1762,8.13,G011060
204451102,326.2369,-33.0262,4.28,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
253917376,337.5534,-30.439,8.07,G011060
278611926,333.3502,-37.4842,7.51,G011060
278704172,334.5708,-36.5958,7.1,G011224;G011060
278804454,336.1574,-39.1271,6.78,G011127;G011060
278829621,336.5498,-37.2621,9.29,G011060
61981530,335.6952,-33.9352,9.17,G011060
70440127,339.5095,-33.4705,7.29,G011060
70442570,339.7145,-33.0813,5.64,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
71334169,331.0803,-42.7247,8.52,G011060
88267762,333.1869,-42.5343,8.05,G011227;G011060
206461701,330.815,-23.2628,9.69,G011127;G011060
206462116,330.8663,-21.7018,9.18,G011154;G011060
206464379,331.0414,-21.7799,7.65,G011227;G011060
270219259,330.2095,-28.4538,5.59,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
270304671,331.3094,-26.8489,9.39,G011127;G011060
301795354,322.1718,-25.6441,7.75,G011227;G011060
32176627,331.9346,-28.1476,6.9,G011224;G011060
32197339,332.1912,-25.7705,6.97,G011060
441110063,324.0464,-26.1716,5.54,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
441117027,324.6012,-29.6404,7.53,G011060
53939120,328.4834,-25.777,8.15,G011060
99839685,323.1628,-21.7765,8.46,G011060
211404370,321.5163,-29.9303,8.55,G011127;G011060
